Title,Price,Availability,Product URL,Star rating,Publisher Country
It's Only the Himalayas,Â£45.17,In stock,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,2,Bahamas
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,Â£49.43,In stock,https://books.toscrape.com/catalogue/full-moon-over-noahs-ark-an-odyssey-to-mount-ararat-and-beyond_811/index.html,4,Argentina
See America: A Celebration of Our National Parks & Treasured Sites,Â£48.87,In stock,https://books.toscrape.com/catalogue/see-america-a-celebration-of-our-national-parks-treasured-sites_732/index.html,3,Barbados
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,Â£36.94,In stock,https://books.toscrape.com/catalogue/vagabonding-an-uncommon-guide-to-the-art-of-long-term-world-travel_552/index.html,2,Barbados
Under the Tuscan Sun,Â£37.33,In stock,https://books.toscrape.com/catalogue/under-the-tuscan-sun_504/index.html,3,Austria
A Summer In Europe,Â£44.34,In stock,https://books.toscrape.com/catalogue/a-summer-in-europe_458/index.html,2,Andorra
The Great Railway Bazaar,Â£30.54,In stock,https://books.toscrape.com/catalogue/the-great-railway-bazaar_446/index.html,1,Barbados
A Year in Provence (Provence #1),Â£56.88,In stock,https://books.toscrape.com/catalogue/a-year-in-provence-provence-1_421/index.html,4,Bahamas
The Road to Little Dribbling: Adventures of an American in Britain (Notes From a Small Island #2),Â£23.21,In stock,https://books.toscrape.com/catalogue/the-road-to-little-dribbling-adventures-of-an-american-in-britain-notes-from-a-small-island-2_277/index.html,1,Bermuda
Neither Here nor There: Travels in Europe,Â£38.95,In stock,https://books.toscrape.com/catalogue/neither-here-nor-there-travels-in-europe_198/index.html,3,Abkhazia
"1,000 Places to See Before You Die",Â£26.08,In stock,https://books.toscrape.com/catalogue/1000-places-to-see-before-you-die_1/index.html,5,Barbados
Sharp Objects,Â£47.82,In stock,https://books.toscrape.com/catalogue/sharp-objects_997/index.html,4,Barbados
"In a Dark, Dark Wood",Â£19.63,In stock,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html,1,Bahrain
The Past Never Ends,Â£56.50,In stock,https://books.toscrape.com/catalogue/the-past-never-ends_942/index.html,4,Argentina
A Murder in Time,Â£16.64,In stock,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,1,Algeria
The Murder of Roger Ackroyd (Hercule Poirot #4),Â£44.10,In stock,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,4,Albania
The Last Mile (Amos Decker #2),Â£54.21,In stock,https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html,2,American Samoa
That Darkness (Gardiner and Renner #1),Â£13.92,In stock,https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html,1,Australia
Tastes Like Fear (DI Marnie Rome #3),Â£10.69,In stock,https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html,1,Benin
A Time of Torment (Charlie Parker #14),Â£48.35,In stock,https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html,5,Armenia
A Study in Scarlet (Sherlock Holmes #1),Â£16.73,In stock,https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html,2,Antigua and Barbuda
Poisonous (Max Revere Novels #3),Â£26.80,In stock,https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html,3,Andorra
Murder at the 42nd Street Library (Raymond Ambler #1),Â£54.36,In stock,https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html,4,Belgium
Most Wanted,Â£35.28,In stock,https://books.toscrape.com/catalogue/most-wanted_623/index.html,3,Afghanistan
Hide Away (Eve Duncan #20),Â£11.84,In stock,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html,1,Antigua and Barbuda
Boar Island (Anna Pigeon #19),Â£59.48,In stock,https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html,3,Bahamas
The Widow,Â£27.26,In stock,https://books.toscrape.com/catalogue/the-widow_609/index.html,2,Algeria
Playing with Fire,Â£13.71,In stock,https://books.toscrape.com/catalogue/playing-with-fire_602/index.html,3,Aruba
